Title,Code,Description,Sector Name,Level,Maximum Notational Hours,Minimum Notational Hours,Version,Originally Approved,Valid Till,Awarding Body,Certifying Bodies,Proposed Occupation,Progression Pathway,Qualifcation Type,Adopted Qualifcation,Training Delivery Hours,NQR code,Qf link,pdf_number
Telehealth Services Coordinator,QG-04-HE-04218-2025-V2-HSSC,"Telehealth Services Coordinator serves as point-of-contact for telehealth services at either referral/patient/primary health care provider's site or specialty/consultation/secondary/tertiary healthcare provider's site. They support physicians, patients and other providers in using widespread e-Health services. Their key responsibilities include organizing teleconference, scheduling appointments, setting up telehealth equipment as needed, maintaining inventory, billing, database management with proper
documentation and promoting telehealth services in local community especially in locations where there is limited access to healthcare providers.",Healthcare,Level 4,480 Hours,480 Hours,Version ,08 May 2025,08 May 2028,Healthcare Sector Skill Council (HSSC),Healthcare sector skill council,Healthcare Technologies,"Horizontal Mobility: NSQF Level 4: Hospital Front Desk Coordinator
Vertical Mobility
NSQF Level 5: Patient Relation Associate","Apprenticeship Qualification,General Qualification",N.A.,"{""Theory"":""180"",""Practical"":""225"",""EmployabilitySkills"":""30"",""OJT_Mandatory"":""45""}",QG-04-HE-04218-2025-V2-HSSC,https://www.nqr.gov.in/qualification/file/QF_HSSQ5801_TSC.en.pdf,2053
Barefoot Technician,QG-04-AG-03923-2025-V2-ASCI,"A Barefoot Technician works as a technical assistant and performs various tasks under the instructions and 
guidance of the Technical Assistant (TA)/Junior Engineer (JE)/ Assistant Engineer (AE), such as assisting in 
identification of work and worksites under Mahatma Gandhi National Rural Employment Guarantee Act 
(MGNREGA); collecting baseline information; assisting in making the presentation to Gram Panchayat (GP) 
and preparing work register; assisting in preparing for work on the MGNREGA worksite; assisting in preparing 
for work on the MGNREGA work site; supervising work at MGNREGA worksites and maintaining the relevant 
MGNREGA records.",Agriculture,Level 4,390 Hours,390 Hours,Version ,08 May 2025,30 Apr 2028,Agriculture Skill Council of India (ASCI),Agriculture Skill Council of India,Bare Foot Technician (BFT),"Barefoot Technician (L4), Barefoot supervisor (L5)","Apprenticeship Qualification,General Qualification,Upskilling Qualification",N.A.,"{""Theory"":""90"",""Practical"":""120"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""120""}",QG-04-AG-03923-2025-V2-ASCI,https://www.nqr.gov.in/qualification/file/English_QF_Barefoot%20Technician_V4.0.pdf,2054
Blockchain Architect,QG-06-IT-01844-2025-V2-NASSCOM,"The Blockchain Architect is responsible for designing, developing, and maintaining blockchain-based systems. This role involves defining project requirements, designing system architecture, and developing smart contracts focusing on security. The developer must assess vulnerabilities, ensure scalability, and integrate blockchain solutions with existing systems. Additionally, they establish governance models and adhere to best practices in blockchain management",IT-ITeS,Level 6,570 Hours,570 Hours,Version ,30 Dec 2021,08 May 2028,IT-ITeS Sector Skills Council NASSCOM (SSC NASSCOM),IT-ITeS Sector Skills Council NASSCOM (SSC NASSCOM),Blockchain,"access to related qualification(s) at the next NSQF level –Head, Blockchain","Future Skills Qualification,Upskilling Qualification",N.A.,"{""Theory"":""195"",""Practical"":""195"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""120""}",QG-06-IT-01844-2025-V2-NASSCOM,https://www.nqr.gov.in/qualification/file/QF_SSC%20Q8702_Blockchain%20Architect_V3.pdf,2055
Glass Manufacturing Technician,QG-04-GC-04164-2025-V1-MSMETC,"After attaining this qualification learner will be able to:
The course 'Advanced Certificate Course in Glass Manufacturing Practices' has been introduced to generate skilled manpower to work in the field of glass manufacturing with latest technology as per the industrial requirement and expectations. 
• The aim of this Training Program is to prepare the trainees to meet the Industrial Expectation in the field of glass manufacturing. 
• Overall objective of this course to get the trainees acquainted with the modern glass manufacturing processes by providing hands-on training with the application of modern equipments& machines to enhance the practical skills.",Glass & Ceramics,Level 4,1200 Hours,1200 Hours,Version ,08 May 2025,08 May 2028,"MSME Technology Centre, Ministry of Micro Small And Medium Enterprises, New Delhi",MSME Technology Centre,Glass Plant Technician,"Glass Plant
Supervisor",Cross Sectoral Qualification,N.A.,"{""Theory"":""510"",""Practical"":""330"",""EmployabilitySkills"":""120"",""OJT_Mandatory"":""240""}",QG-04-GC-04164-2025-V1-MSMETC,https://www.nqr.gov.in/qualification/file/Glass%20Manufacturin%20Technician%20QF.pdf,2056
ASSISTANT MECHATRONICS SYSTEM DESIGNER,QG-05-IT-04171-2025-V1-MSMETC,"The qualification contains different modules which are required for the job role of  SR. Mechatronics System Designer, This qualified learner shall be able to:
●	Design and operate the mechatronics system.
●	Prepare and execute logic using PLC / SCADA programming.
●	Prepare Electrical system drawing 
●	Use and control the system using pneumatics and Hydraulic
●	Design industrial Pneumatic layout and circuit diagram
●	Design Electro - Pneumatic layout and circuit diagram
●	Design hydraulic system layout and circuit diagram
●	Design hydraulic system circuit diagram
●	Control panel design for PLC, SCADA, HMI, Motor and drive
●	Mechatronics system design for industrial automation
●	To get an employment in Engineering/ Manufacturing industries and also become an entrepreneur",Capital Goods & Manufacturing,Level 5,1200 Hours,1200 Hours,Version ,08 May 2025,08 May 2028,"MSME Technology Centre, Ministry of Micro Small And Medium Enterprises, New Delhi",MSME Technology Centre,Mechatronics System Designer,Sr. Mechatronics System Designer,Cross Sectoral Qualification,N.A.,"{""Theory"":""450"",""Practical"":""570"",""EmployabilitySkills"":""120"",""OJT_Mandatory"":""60""}",QG-05-IT-04171-2025-V1-MSMETC,https://www.nqr.gov.in/qualification/file/MECHATRONICS%20SYSTEM%20DESIGNER%20QF%20for%20NCVET%20.pdf,2057
Blockchain full stack developer,QG-05-IT-04331-2025-V2-NASSCOM,"Individuals at this job are responsible for developing the core blockchain. They will be responsible for developing tools, processes, and mechanisms for defining and developing the core blockchain. They will be responsible for defining and documenting technical specifications pertaining to the blockchain solution, including client, consensus algorithm, distributed data management, ledger maintenance, participant incentivization, smart contract/ chain code, and tokenomics.",IT-ITeS,Level 5,510 Hours,510 Hours,Version ,30 Dec 2021,08 May 2028,IT-ITeS Sector Skills Council NASSCOM (SSC NASSCOM),IT-ITeS Sector Skills Council NASSCOM (SSC NASSCOM),Blockchain,Access to related qualification(s) at the next NSQF level: Blockchain Architect,"Future Skills Qualification,Upskilling Qualification",N.A.,"{""Theory"":""159"",""Practical"":""201"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""90""}",QG-05-IT-04331-2025-V2-NASSCOM,https://www.nqr.gov.in/qualification/file/QF_SSC%20Q8703_Blockchain%20full%20stack%20developer_V3.pdf,2058
Drone Software Technician,QG-04-IT-04332-2025-V2-NASSCOM,"The drone software technician will collaborate with stakeholders to document functional and non-functional requirements, create architectural diagrams that outline software structure, and design algorithms for navigation and flight control. . The technician will utilize simulation tools to test algorithms and validate software performance in controlled environments before conducting real-world flight tests. Thorough documentation of code and preparing software for deployment will also be key responsibilities, alongside updating it based on user feedback and technological advancements.",IT-ITeS,Level 4,390 Hours,390 Hours,Version ,31 Mar 2022,08 May 2028,IT-ITeS Sector Skills Council NASSCOM (SSC NASSCOM),IT-ITeS Sector Skills Council NASSCOM (SSC NASSCOM),Drone Technology,"Professional progression:   access to related qualification(s) at the next NSQF level –   Application Developer etc.
Academic progression:   access to related qualification (s) at the next NSQF level –   Flight test operator, etc","Future Skills Qualification,Upskilling Qualification",N.A.,"{""Theory"":""92"",""Practical"":""148"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""90""}",QG-04-IT-04332-2025-V2-NASSCOM,https://www.nqr.gov.in/qualification/file/QF_SSC%20Q8406_Drone%20Software%20Technician_V3.pdf,2059
Jr. Technical Supervisor – Sports Shoe Manufacturing,QG-4.5-LT-04165-2025-V1-MSMETC,"•	Qualified learners who attain this qualification are capable in Shoe Design & Development, Materials Science, Manufacturing Techniques, Industrial Engineering, Quality Assurance & Control, Production Management, Retailing, Merchandising & Supply Chain, and Sustainability within the fields of Sports Footwear and Allied sectors.
•	Learner can get a job in Design & Development, Production, Quality, Productivity, Costing & Cost Control, Marketing, Retailing & Merchandising fields of Sports Footwear sector and also can able to become an entrepreneur.",Rubber Industry,Level 4.5,1200 Hours,1200 Hours,Version ,08 May 2025,08 May 2028,"MSME Technology Centre, Ministry of Micro Small And Medium Enterprises, New Delhi",MSME TECHNOLOGY CENTRE,Shoemaker,Technical Supervisor– Sports Shoe Manufacturing,Multi-Skill Qualification,N.A.,"{""Theory"":""360"",""Practical"":""600"",""EmployabilitySkills"":""120"",""OJT_Mandatory"":""120""}",QG-4.5-LT-04165-2025-V1-MSMETC,https://www.nqr.gov.in/qualification/file/Qualification%20File_%20Advanced%20Certificate%20in%20Sports%20Shoe%20Manufacturing%20%28ACSSM%29_12.06.2024.pdf,2060
Assistant Technician of Creative & Dynamic Lighting System,QG-03-EH-03898-2025-V1-WBSC,"Assistant Technician of  Creative & Dynamic Lighting System’ is designed to equip learners with foundational knowledge and practical skills in the setup, programming, and maintenance of creative and dynamic lighting systems used in events, entertainment, architectural installations, and theatrical productions. Participants will gain hands-on experience with lighting control software and hardware, understand DMX and networked lighting protocols, and learn techniques for designing and operating synchronized lighting shows. The qualification prepares individuals for entry-level roles supporting lighting assistant technicians, and production teams in a variety of creative industries.",Electronics & HW,Level 3,540 Hours,540 Hours,Version ,09 May 2025,08 May 2028,West Bengal State Council for Vocational Training (WBSCVT),West Bengal State Council for Vocational Training (WBSCVT),Lighting Technician,CREATIVE &  DYNAMIC LIGHTING SYSTEM TECHNICIAN (NSQF Level-4.0),General Qualification,N.A.,"{""Theory"":""125"",""Practical"":""325"",""EmployabilitySkills"":""30"",""OJT_Mandatory"":""90""}",QG-03-EH-03898-2025-V1-WBSC,https://www.nqr.gov.in/qualification/file/Q__FILE_Assistant%20Technician%20of%20Creative%20&%20Dynamic%20Lighting%20System.pdf,2061
Technical Supervisor- Advanced Footwear Technology,QG-05-LT-04166-2025-V1-MSMETC,"Learners who attain this qualification are capable in Designing & Pattern Cutting, Clicking, Closing & Lasting making and finishing fields of Footwear and Allied sectors and can get a job in Production, Quality, Designing & Merchandising fields of Footwear sector and also can able to become an entrepreneur

Qualifying learners are capable to design a shoe, cut & assemble upper part of shoe and Lasting & finishing of Shoe",Leather,Level 5,1200 Hours,1200 Hours,Version ,08 May 2025,08 May 2028,"MSME Technology Centre, Ministry of Micro Small And Medium Enterprises, New Delhi",MSME Technology Centre,Shoemaker,Asst. Technical Manager,Multi-Skill Qualification,N.A.,"{""Theory"":""300"",""Practical"":""630"",""EmployabilitySkills"":""30"",""OJT_Mandatory"":""240""}",QG-05-LT-04166-2025-V1-MSMETC,https://www.nqr.gov.in/qualification/file/TECHNICAL%20SUPERVISOR%20-%20ADVANCED%20FOOTWEAR%20TECHNOLOGY%20_%20TECHNICAL%20SUPERVISOR%20-%20PRODUCT%20DEVELOPMENT%20AND%20MANUFACTURING.pdf,2062
Community Service Provider,QG-04-AG-03924-2025-V2-ASCI,"A Community Service Provider also known as Village Level Entrepreneur (VLE) provides a variety of 
Government to Citizen (G2C) and Business to Consumer (B2C) services. The individual sets up a Common 
Service Centre (CSC) in the selected rural/ semi-rural/ urban areas for the purpose and also assists farmers in 
subscribing to and availing relevant government schemes and benefits respectively. Through the CSC, 
the person sells relevant products and services offered by corporates and the government.",Agriculture,Level 4,390 Hours,390 Hours,Version ,08 May 2025,30 Apr 2028,Agriculture Skill Council of India (ASCI),Agriculture Skill Council of India,Community Service Provider,"Community Service Provider (L4), Agri service input dealer (L5)","Apprenticeship Qualification,General Qualification,Upskilling Qualification",N.A.,"{""Theory"":""90"",""Practical"":""120"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""120""}",QG-04-AG-03924-2025-V2-ASCI,https://www.nqr.gov.in/qualification/file/English_QF-Community%20Service%20Provider.pdf,2063
Geriatric Care Assistant (Hospital/Hospice Care),QG-4.5-HE-04226-2025-V2-HSSC,"The individual would provide routine individualized care to geriatrics at various work settings including hospitals, hospices, nursing homes, assisted living facilities, home set up, community centers. They assist geriatrics in maintaining activities of daily living, mobility, monitoring vital signs and assisting with medication reminders. They work under supervision of healthcare team to implement the special care plan for geriatric patients suffering from chronic diseases or disorders (including Dementia, Parkinson's disease, Alzheimer’s, Diabetes, Hypertension, fractures, Arthritis, Osteoporosis, Respiratory Disease, Heart Disease and Implants, Nervous Disorders, Loss of Vision and Hearing, Cancer, Paralysis, Stroke, etc. )
Individuals would keep oneself abreast of use of the Recent advancements and applications.",Healthcare,Level 4.5,600 Hours,600 Hours,Version ,08 May 2025,08 May 2028,Healthcare Sector Skill Council (HSSC),Healthcare sector skill council,Special Care Services,"Vertical Mobility
NSQF Level 5: Patient Relations Associate","Apprenticeship Qualification,Future Skills Qualification",N.A.,"{""Theory"":""210"",""Practical"":""180"",""EmployabilitySkills"":""60"",""OJT_Mandatory"":""150""}",QG-4.5-HE-04226-2025-V2-HSSC,https://www.nqr.gov.in/qualification/file/QF_HSSQ6001_GCA.en.pdf,2064
